NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;NON_SELF_EMPL_M;SELF_EMPL_M;TEMP_ABSENT_M;EMPL_TOTAL_M;NON_SELF_EMPL_W;SELF_EMPL_W;TEMP_ABSENT_W;EMPL_TOTAL_W;NON_SELF_EMPL_TOTAL;SELF_EMPL_TOTAL;TEMP_ABSENT_TOTAL;EMPL_TOTAL;REF_DATE
AT2;AT22;AT221;601;Graz-Stadt;60101;Graz ;63229;8638;372;72239;57597;4539;2586;64722;120826;13177;2958;136961;31.10.2017
AT2;AT22;AT225;603;Deutschlandsberg;60305;Frauental an der Laßnitz ;713;69;6;788;604;53;25;682;1317;122;31;1470;31.10.2017
AT2;AT22;AT225;603;Deutschlandsberg;60318;Lannach ;864;154;2;1020;768;96;33;897;1632;250;35;1917;31.10.2017
AT2;AT22;AT225;603;Deutschlandsberg;60323;Pölfing-Brunn ;346;43;1;390;290;31;11;332;636;74;12;722;31.10.2017
AT2;AT22;AT225;603;Deutschlandsberg;60324;Preding ;431;62;2;495;359;40;22;421;790;102;24;916;31.10.2017
AT2;AT22;AT225;603;Deutschlandsberg;60326;Sankt Josef (Weststeiermark) ;394;52;3;449;338;48;18;404;732;100;21;853;31.10.2017
AT2;AT22;AT225;603;Deutschlandsberg;60329;Sankt Peter im Sulmtal ;288;49;2;339;215;41;12;268;503;90;14;607;31.10.2017
AT2;AT22;AT225;603;Deutschlandsberg;60341;Wettmannstätten ;378;62;0;440;319;45;16;380;697;107;16;820;31.10.2017
AT2;AT22;AT225;603;Deutschlandsberg;60344;Deutschlandsberg ;2546;447;11;3004;2303;287;101;2691;4849;734;112;5695;31.10.2017
AT2;AT22;AT225;603;Deutschlandsberg;60345;Eibiswald ;1454;252;5;1711;1142;235;53;1430;2596;487;58;3141;31.10.2017
AT2;AT22;AT225;603;Deutschlandsberg;60346;Groß Sankt Florian ;1026;160;3;1189;833;131;39;1003;1859;291;42;2192;31.10.2017
